Periode,Uang_Kartal_M1_miliar,E_Money_volume_ribu,E_Money_nilai_miliar,IHK,Suku_Bunga,IPR,Dummy_Ramadan,Dummy_IdulFitri
2023-04-01,2472869.464,1710094.588,152561.1748,114.74,5.75,242.91884,1,0
2023-05-01,2423317.964,1764491.568,152563.8628,114.84,5.75,223.5104817,0,1
2023-06-01,2466008.576,2348698.614,153138.8997,115.0,5.75,222.9225117,0,0
2023-07-01,2438058.759,1759257.104,160469.7741,115.24,5.75,203.3380619,0,0
2023-08-01,2410850.868,1994571.547,157809.2137,115.22,5.75,204.0719102,0,0
2023-09-01,2482229.028,1676226.816,158588.5226,115.44,5.75,201.0596712,0,0
2023-10-01,2497710.304,1699332.872,166601.745,115.64,6.0,207.5413362,0,0
2023-11-01,2510767.933,1619596.362,169461.2623,116.08,6.0,207.873046,0,0
2023-12-01,2675333.285,1609944.012,184629.3085,116.56,6.0,218.1475436,0,0
2024-01-01,2564733.998,1571948.847,178570.437,105.19,6.0,210.476608,0,0
2024-02-01,2556484.796,1553092.491,178373.8787,105.58,6.0,214.1396656,0,0
2024-03-01,2639424.866,1718158.569,199819.619,106.13,6.0,235.3906154,1,0
2024-04-01,2623331.161,1742257.814,199908.2627,106.4,6.25,236.2911089,0,1
2024-05-01,2625271.452,1823135.426,204240.2479,106.37,6.25,228.1127253,0,0
2024-06-01,2692395.315,1764059.08,207054.5803,106.28,6.25,228.982235,0,0
2024-07-01,2625264.313,1755017.884,214073.3844,106.09,6.25,212.4112501,0,0
2024-08-01,2626709.721,1835100.558,220874.8971,106.06,6.25,215.9320753,0,0
2024-09-01,2672407.718,1832831.553,217814.1355,105.93,6.0,210.6129515,0,0
2024-10-01,2697741.094,1936171.3,224236.3484,106.01,6.0,210.5894036,0,0
2024-11-01,2822294.848,1845092.641,213373.2964,106.33,6.0,209.668719,0,0
2024-12-01,2839539.832,2293482.899,245619.7816,106.8,6.0,221.9962477,0,0
2025-01-01,2790374.63,2220216.578,236025.7715,105.99,5.75,211.542407,0,0
2025-02-01,2774899.599,2145506.314,226152.2842,105.48,5.75,218.4859519,0,0
2025-03-01,2842704.556,2525374.445,277235.0601,107.22,5.75,248.2776232,1,0
2025-04-01,2802488.423,2376979.808,243026.6924,108.47,5.75,235.5481254,0,1
2025-05-01,2836018.366,2624455.325,269436.0277,108.07,5.5,232.4497752,0,0
2025-06-01,2955112.683,2695009.644,268743.9781,108.27,5.5,231.8953785,0,0
2025-07-01,2940255.667,2719802.715,279464.2253,108.6,5.25,222.3180616,0,0
2025-08-01,3054653.69,2790485.543,300384.3085,108.51,5.0,223.5797181,0,0
2025-09-01,3087149.757,2790981.719,298076.9259,108.74,4.75,218.3052334,0,0
2025-10-01,3105230.494,3002075.688,301744.2965,109.04,4.75,219.6909846,0,0
2025-11-01,3237684.157,2994746.756,318069.4832,109.22,4.75,222.9333966,0,0
2025-12-01,3386916.595,3158268.696,343857.5247,109.92,4.75,229.7559567,0,0
2026-01-01,3379662.805,3093509.671,316682.2352,109.75,4.75,223.5859134,0,0
2026-02-01,3340672.036,2909750.48,300770.8367,110.5,4.75,232.6651457,0,0
2026-03-01,3423531.908,3458984.775,363504.9697,110.95,4.75,256.6735258,1,0
2026-04-01,3342386.422,2829174.108,292738.9717,111.09,4.75,231.0221619,0,1
2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0,0
